season,current_gameweek,player_id,player_code,web_name,full_name,team,team_id,team_code,position,status,news,chance_of_playing_next_round,now_cost,selected_by_percent,total_points,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,ict_index,form,points_per_game,ep_next,fixture_difficulty_next5,fixture_difficulty_next3,next5_home_count,next3_home_count,opponent_count_next5,opponent_count_next3,prior_minutes,prior_total_points,prior_points_per_90,prior_xgi_per_90,prior_starts_per_90,prior_found,prior_team_strength,prior_team_attack_strength,prior_team_defence_strength,prior_team_found,points_per_90,xgi_per_90,start_rate,blended_points_per_90,blended_xgi_per_90,blended_start_rate,team_attack_prior,team_defence_prior,value_points_per_million,fixture_ease,differential_score,availability_factor,predicted_next_gw,predicted_next3,predicted_next5,baseline_next3,baseline_next5,model_residual,optimizer_value,risk_score,transfer_score
2026-27,2,26,219847,Havertz,Kai Havertz,Arsenal,1,3,FWD,a,,100,75.0,7.0,8,180,2,1,0,2,0,0.28,0.06,0.34,0.53,10.4,4.0,4.0,4.0,3.0,3.333,2.0,1.0,5,3,577.0,36.0,5.615,0.616,1.05,1,1330.0,1365.0,1295.0,1,4.0,0.17,1.0,5.163,0.491,1.0,1.217,0.983,1.067,3.0,18.0,1.0,4.035,14.237,25.186,12.0,20.0,5.186,3.358,0.8,26.186
2026-27,2,27,205651,G.Jesus,Gabriel Fernando de Jesus,Arsenal,1,3,FWD,u,Has joined FC Barcelona permanently,0,59.0,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.333,2.0,1.0,5,3,418.0,24.0,5.167,0.639,0.65,1,1330.0,1365.0,1295.0,1,0.0,0.0,0.0,3.72,0.46,0.468,1.217,0.983,0.0,3.0,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.181,0.061
2026-27,2,31,199798,Konsa,Ezri Konsa Ngoyo,Arsenal,1,3,DEF,a,,100,44.0,10.5,1,11,0,0,0,0,0,0.0,0.0,0.0,0.0,0.3,0.5,1.0,0.5,3.0,3.333,2.0,1.0,5,3,3035.0,100.0,2.965,0.055,1.01,1,1330.0,1365.0,1295.0,1,8.182,0.0,0.0,4.426,0.04,0.727,1.217,0.983,0.227,3.0,14.5,1.0,1.593,4.755,8.006,3.0,5.0,3.006,1.82,0.988,8.724
2026-27,2,452,208706,Bruno G.,Bruno Guimarães Rodriguez Moura,Arsenal,1,3,MID,a,,100,69.0,2.2,1,19,0,0,0,0,0,0.0,0.01,0.01,0.0,0.4,0.5,1.0,0.5,3.0,3.333,2.0,1.0,5,3,2456.0,154.0,5.643,0.387,0.99,1,1330.0,1365.0,1295.0,1,4.737,0.047,0.0,5.389,0.292,0.713,1.217,0.983,0.145,3.0,22.8,1.0,2.122,6.286,10.771,3.0,5.0,5.771,1.561,0.979,11.787
2026-27,2,557,439509,Tzolis,Christos Tzolis,Arsenal,1,3,MID,a,,100,65.0,21.9,6,120,2,0,1,1,0,0.19,0.15,0.34,0.16,10.3,3.0,3.0,3.0,3.0,3.333,2.0,1.0,5,3,0.0,0.0,0.0,0.0,0.0,0,1330.0,1365.0,1295.0,1,4.5,0.255,1.0,1.26,0.071,1.0,1.217,0.983,0.923,3.0,3.1,1.0,2.717,9.421,16.182,9.0,15.0,1.182,2.49,0.867,16.604
2026-27,2,29,72147,M.Bizot,Marco Bizot,Aston Villa,2,7,GKP,a,,100,45.0,0.1,1,90,1,0,0,0,4,0.0,0.0,0.0,3.77,2.8,0.5,1.0,0.5,2.8,2.667,2.0,1.0,5,3,585.0,16.0,2.462,0.0,0.92,1,1182.5,1165.0,1200.0,1,1.0,0.0,1.0,2.053,0.0,1.0,0.55,0.667,0.222,3.2,24.9,1.0,1.001,3.152,5.303,3.0,5.0,0.303,1.178,0.9,6.53
2026-27,2,30,101188,Digne,Lucas Digne,Aston Villa,2,7,DEF,u,Has joined Paris Saint-Germain permanently,0,45.0,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.667,2.0,1.0,5,3,1842.0,97.0,4.739,0.193,1.03,1,1182.5,1165.0,1200.0,1,0.0,0.0,0.0,3.412,0.139,0.742,0.55,0.667,0.0,3.2,24.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.999,0.292
2026-27,2,32,199796,Cash,Matty Cash,Aston Villa,2,7,DEF,a,,100,45.0,7.1,1,167,2,0,0,0,5,0.15,0.01,0.16,4.81,3.6,0.5,0.5,0.5,2.8,2.667,2.0,1.0,5,3,3016.0,117.0,3.491,0.122,1.01,1,1182.5,1165.0,1200.0,1,0.539,0.086,1.0,2.664,0.112,1.0,0.55,0.667,0.222,3.2,17.9,1.0,4.042,12.144,20.246,1.5,2.5,17.746,4.499,0.814,21.301
2026-27,2,33,149484,Mings,Tyrone Mings,Aston Villa,2,7,DEF,a,,100,45.0,0.4,1,16,0,0,0,0,0,0.0,0.0,0.0,0.22,0.2,0.5,1.0,0.5,2.8,2.667,2.0,1.0,5,3,1322.0,50.0,3.404,0.117,1.02,1,1182.5,1165.0,1200.0,1,5.625,0.0,0.0,4.026,0.084,0.734,0.55,0.667,0.222,3.2,24.6,1.0,1.05,3.189,5.328,3.0,5.0,0.328,1.184,0.982,6.474
2026-27,2,34,244954,Pau,Pau Torres,Aston Villa,2,7,DEF,a,,100,45.0,0.4,2,163,2,0,0,0,5,0.0,0.01,0.01,4.59,1.2,1.0,1.0,1.0,2.8,2.667,2.0,1.0,5,3,1673.0,64.0,3.443,0.093,0.97,1,1182.5,1165.0,1200.0,1,1.104,0.006,1.0,2.788,0.069,1.0,0.55,0.667,0.444,3.2,24.6,1.0,2.465,6.929,11.393,3.0,5.0,6.393,2.532,0.819,12.678
