player_id,web_name,team,position,gw,fixture,opponent_team_id,was_home,minutes,starts,total_points,goals_scored,assists,clean_sheets,expected_goals,expected_assists,expected_goal_involvements,ict_index,bonus,bps,defensive_contribution,value,selected,transfers_in,transfers_out
72,Gannon-Doak,Bournemouth,MID,1,8,15,0,1,0,1,0,0,0,0.0,0.0,0.0,0.2,0,3,1.0,50.0,7889,0,0
72,Gannon-Doak,Bournemouth,MID,2,12,9,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,8171,365,833
72,Gannon-Doak,Bournemouth,MID,3,27,17,0,1,0,1,0,0,0,0.02,0.0,0.02,0.8,0,3,2.0,50.0,7170,384,1549
72,Gannon-Doak,Bournemouth,MID,4,32,4,1,8,0,1,0,0,0,0.1,0.03,0.13,1.0,0,6,4.0,49.0,6799,413,1025
65,J.Araujo,Bournemouth,DEF,1,8,15,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,45.0,1775,0,0
65,J.Araujo,Bournemouth,DEF,2,12,9,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,45.0,1571,88,506
65,J.Araujo,Bournemouth,DEF,3,27,17,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,45.0,1391,96,366
65,J.Araujo,Bournemouth,DEF,4,32,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,44.0,1303,99,216
77,Adli,Bournemouth,MID,1,8,15,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,3087,0,0
77,Adli,Bournemouth,MID,2,12,9,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,2226,54,976
77,Adli,Bournemouth,MID,3,27,17,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,49.0,1803,136,627
77,Adli,Bournemouth,MID,4,32,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,49.0,1557,54,329
80,Enes Ünal,Bournemouth,FWD,1,8,15,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,55.0,3581,0,0
80,Enes Ünal,Bournemouth,FWD,2,12,9,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,55.0,2487,0,1070
80,Enes Ünal,Bournemouth,FWD,3,27,17,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,55.0,1977,0,522
80,Enes Ünal,Bournemouth,FWD,4,32,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,55.0,1781,0,219
81,Rodríguez,Bournemouth,FWD,1,8,15,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,60.0,9051,0,0
81,Rodríguez,Bournemouth,FWD,2,12,9,1,9,0,1,0,0,0,0.0,0.0,0.0,0.0,0,4,1.0,60.0,11569,1000,1182
81,Rodríguez,Bournemouth,FWD,3,27,17,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,60.0,12281,1521,1919
81,Rodríguez,Bournemouth,FWD,4,32,4,1,1,0,1,0,0,0,0.0,0.0,0.0,0.1,0,3,0.0,60.0,12593,1247,1656
78,Kroupi.Jr,Bournemouth,MID,1,8,15,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,75.0,42378,0,0
78,Kroupi.Jr,Bournemouth,MID,2,12,9,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,75.0,30734,462,13408
78,Kroupi.Jr,Bournemouth,MID,3,27,17,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,74.0,23655,246,7960
78,Kroupi.Jr,Bournemouth,MID,4,32,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,74.0,21026,197,3321
79,Evanilson,Bournemouth,FWD,1,8,15,0,74,1,4,0,1,1,0.0,0.21,0.21,3.3,0,17,8.0,60.0,200122,0,0
79,Evanilson,Bournemouth,FWD,2,12,9,1,80,1,5,0,1,1,0.58,0.04,0.62,5.9,0,11,3.0,60.0,300527,72625,19026
79,Evanilson,Bournemouth,FWD,3,27,17,0,90,1,2,0,0,0,0.13,0.01,0.14,2.9,0,4,7.0,60.0,336364,69571,43452
79,Evanilson,Bournemouth,FWD,4,32,4,1,90,1,5,0,1,0,0.0,0.25,0.25,6.7,0,22,4.0,60.0,349369,48861,45367
615,Di Gregorio,Bournemouth,GKP,2,12,9,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,45.0,593,241,27
615,Di Gregorio,Bournemouth,GKP,3,27,17,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,45.0,2932,1404,455
615,Di Gregorio,Bournemouth,GKP,4,32,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,45.0,3698,755,526
608,Jebbison,Bournemouth,FWD,1,8,15,0,15,0,1,0,0,0,0.1,0.0,0.1,2.1,0,6,1.0,50.0,0,0,0
608,Jebbison,Bournemouth,FWD,2,12,9,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,4738,2477,421
608,Jebbison,Bournemouth,FWD,3,27,17,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,4,0.0,50.0,9237,4510,1998
608,Jebbison,Bournemouth,FWD,4,32,4,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,50.0,11375,3390,1888
566,Silva,Bournemouth,DEF,1,8,15,0,90,1,2,0,0,0,0.0,0.0,0.0,3.2,0,5,13.0,50.0,23702,0,0
566,Silva,Bournemouth,DEF,2,12,9,1,90,1,4,0,0,0,0.25,0.03,0.28,3.3,0,11,10.0,50.0,36812,7365,2190
566,Silva,Bournemouth,DEF,3,27,17,0,90,1,1,0,0,0,0.02,0.01,0.03,4.2,0,8,8.0,50.0,43269,9722,6674
