player_id,web_name,team,position,gw,horizon_index,was_home,opponent_team_id,fixture_difficulty,forecast_points
24,Nelson,Arsenal,MID,5,3,0,5,3.0,0.0
24,Nelson,Arsenal,MID,6,4,1,13,2.0,0.0
24,Nelson,Arsenal,MID,7,5,0,18,3.0,0.0
25,Gyökeres,Arsenal,FWD,3,1,1,6,4.0,0.727
25,Gyökeres,Arsenal,FWD,4,2,0,20,3.0,0.51
25,Gyökeres,Arsenal,FWD,5,3,0,5,3.0,0.51
25,Gyökeres,Arsenal,FWD,6,4,1,13,2.0,0.91
25,Gyökeres,Arsenal,FWD,7,5,0,18,3.0,0.51
26,Havertz,Arsenal,FWD,3,1,1,6,4.0,4.035
26,Havertz,Arsenal,FWD,4,2,0,20,3.0,5.101
26,Havertz,Arsenal,FWD,5,3,0,5,3.0,5.101
26,Havertz,Arsenal,FWD,6,4,1,13,2.0,5.848
26,Havertz,Arsenal,FWD,7,5,0,18,3.0,5.101
27,G.Jesus,Arsenal,FWD,3,1,1,6,4.0,0.0
27,G.Jesus,Arsenal,FWD,4,2,0,20,3.0,0.0
27,G.Jesus,Arsenal,FWD,5,3,0,5,3.0,0.0
27,G.Jesus,Arsenal,FWD,6,4,1,13,2.0,0.0
27,G.Jesus,Arsenal,FWD,7,5,0,18,3.0,0.0
31,Konsa,Arsenal,DEF,3,1,1,6,4.0,1.593
31,Konsa,Arsenal,DEF,4,2,0,20,3.0,1.581
31,Konsa,Arsenal,DEF,5,3,0,5,3.0,1.581
31,Konsa,Arsenal,DEF,6,4,1,13,2.0,1.67
31,Konsa,Arsenal,DEF,7,5,0,18,3.0,1.581
452,Bruno G.,Arsenal,MID,3,1,1,6,4.0,2.122
452,Bruno G.,Arsenal,MID,4,2,0,20,3.0,2.082
452,Bruno G.,Arsenal,MID,5,3,0,5,3.0,2.082
452,Bruno G.,Arsenal,MID,6,4,1,13,2.0,2.403
452,Bruno G.,Arsenal,MID,7,5,0,18,3.0,2.082
557,Tzolis,Arsenal,MID,3,1,1,6,4.0,2.717
557,Tzolis,Arsenal,MID,4,2,0,20,3.0,3.352
557,Tzolis,Arsenal,MID,5,3,0,5,3.0,3.352
557,Tzolis,Arsenal,MID,6,4,1,13,2.0,3.409
557,Tzolis,Arsenal,MID,7,5,0,18,3.0,3.352
29,M.Bizot,Aston Villa,GKP,3,1,0,11,2.0,1.001
29,M.Bizot,Aston Villa,GKP,4,2,1,18,3.0,1.173
29,M.Bizot,Aston Villa,GKP,5,3,0,19,3.0,0.978
29,M.Bizot,Aston Villa,GKP,6,4,1,4,3.0,1.173
29,M.Bizot,Aston Villa,GKP,7,5,0,17,3.0,0.978
30,Digne,Aston Villa,DEF,3,1,0,11,2.0,0.0
30,Digne,Aston Villa,DEF,4,2,1,18,3.0,0.0
30,Digne,Aston Villa,DEF,5,3,0,19,3.0,0.0
30,Digne,Aston Villa,DEF,6,4,1,4,3.0,0.0
30,Digne,Aston Villa,DEF,7,5,0,17,3.0,0.0
32,Cash,Aston Villa,DEF,3,1,0,11,2.0,4.042
32,Cash,Aston Villa,DEF,4,2,1,18,3.0,3.998
32,Cash,Aston Villa,DEF,5,3,0,19,3.0,4.104
32,Cash,Aston Villa,DEF,6,4,1,4,3.0,3.998
32,Cash,Aston Villa,DEF,7,5,0,17,3.0,4.104
33,Mings,Aston Villa,DEF,3,1,0,11,2.0,1.05
33,Mings,Aston Villa,DEF,4,2,1,18,3.0,1.105
33,Mings,Aston Villa,DEF,5,3,0,19,3.0,1.034
33,Mings,Aston Villa,DEF,6,4,1,4,3.0,1.105
33,Mings,Aston Villa,DEF,7,5,0,17,3.0,1.034
34,Pau,Aston Villa,DEF,3,1,0,11,2.0,2.465
34,Pau,Aston Villa,DEF,4,2,1,18,3.0,2.284
34,Pau,Aston Villa,DEF,5,3,0,19,3.0,2.18
34,Pau,Aston Villa,DEF,6,4,1,4,3.0,2.284
34,Pau,Aston Villa,DEF,7,5,0,17,3.0,2.18
35,Bogarde,Aston Villa,MID,3,1,0,11,2.0,0.928
35,Bogarde,Aston Villa,MID,4,2,1,18,3.0,0.782
35,Bogarde,Aston Villa,MID,5,3,0,19,3.0,0.865
35,Bogarde,Aston Villa,MID,6,4,1,4,3.0,0.782
35,Bogarde,Aston Villa,MID,7,5,0,17,3.0,0.865
36,Maatsen,Aston Villa,DEF,3,1,0,11,2.0,3.076
36,Maatsen,Aston Villa,DEF,4,2,1,18,3.0,2.471
36,Maatsen,Aston Villa,DEF,5,3,0,19,3.0,2.415
36,Maatsen,Aston Villa,DEF,6,4,1,4,3.0,2.471
36,Maatsen,Aston Villa,DEF,7,5,0,17,3.0,2.415
37,Lindelöf,Aston Villa,DEF,3,1,0,11,2.0,2.579
37,Lindelöf,Aston Villa,DEF,4,2,1,18,3.0,2.606
37,Lindelöf,Aston Villa,DEF,5,3,0,19,3.0,2.551
37,Lindelöf,Aston Villa,DEF,6,4,1,4,3.0,2.606
37,Lindelöf,Aston Villa,DEF,7,5,0,17,3.0,2.551
38,A.García,Aston Villa,DEF,3,1,0,11,2.0,0.076
38,A.García,Aston Villa,DEF,4,2,1,18,3.0,0.04
38,A.García,Aston Villa,DEF,5,3,0,19,3.0,0.024
38,A.García,Aston Villa,DEF,6,4,1,4,3.0,0.04
38,A.García,Aston Villa,DEF,7,5,0,17,3.0,0.024
39,Nedeljkovic,Aston Villa,DEF,3,1,0,11,2.0,0.0
